time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-02-14 10:17:47.276 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184973295616,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,144675584,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:18:47.290 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184974163968,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,146772736,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:19:47.300 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184974131200,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,148869888,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:20:47.308 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971661312,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,150967040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:21:47.316 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971587584,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,154112768,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:22:47.324 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971440128,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,155161344,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:23:47.333 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971403264,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , ,1,3,79503976,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:24:47.340 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971288576,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,80552552,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:25:47.360 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184971440128,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,83698280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:26:47.377 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184970326016,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,85795432,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:27:47.388 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184970248192,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,86844008,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:28:47.398 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184970063872,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,89989736,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:29:47.407 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184970063872,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,92086888,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:30:47.418 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184969961472,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,94184040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:31:47.426 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184969928704,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,96281192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:32:47.440 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184973078528,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,98378344,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:33:47.457 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184957313024,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,100475496,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:34:47.475 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184957046784,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,102572648,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:35:47.492 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184956928000,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,104669800,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:36:47.496 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184956600320,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,106766952,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
